id,age,household_income,weight,height,children,happiness,fitness,food_expenses,alcohol_expenses,tattoos,rhine_swimming,data_use,consultations,anual_hiking_hours,sex,education,confession,fasnacht_active,eye_correction
bas_ERZUT,44.2,5900,113.4,174.3,1,5,3,359,40,6,4,69,4,29,male,SEK_III,catholic,no,yes
bas_AILRI,64.6,7300,75.2,180.3,1,7,8,461,24,5,2,89,3,56,male,obligatory_school,confessionless,no,no
bas_LPNLR,66.1,6600,55.5,168.3,1,7,6,502,14,3,6,102,7,57,female,SEK_III,evangelical-reformed,no,yes
bas_BPKOL,26.6,6400,93.8,209,1,7,8,449,39,6,0,110,3,88,male,SEK_III,catholic,no,yes
bas_OMKHN,24.1,6400,77.7,176.7,1,5,4,460,19,4,1,82,4,65,male,SEK_III,catholic,no,yes
bas_WWIAO,63.4,8400,67.4,186.6,0,9,1,549,31,0,3,73,0,37,male,SEK_III,evangelical-reformed,no,yes
bas_JGGRY,70.7,8200,83.3,151.6,1,8,5,280,38,4,11,92,1,97,male,SEK_III,evangelical-reformed,no,no
bas_SNBCQ,41.3,8200,67.8,155.7,1,9,2,541,30,3,1,111,4,46,female,SEK_III,confessionless,no,no
bas_OWILX,43.1,8e3,69.3,176.1,1,7,5,438,50,0,9,95,6,65,male,apprenticeship,catholic,no,yes
bas_HQXXO,66.1,7600,66.3,166.1,1,6,7,241,30,0,3,92,3,66,female,SEK_II,catholic,no,yes
bas_LXPAW,41.8,8100,51.9,157.8,2,9,7,460,33,2,5,106,4,104,female,obligatory_school,catholic,no,no
bas_AHMRE,31.3,7500,66,165.9,3,5,1,502,36,0,7,65,6,32,male,apprenticeship,evangelical-reformed,no,no
bas_HMRCP,38.1,6700,73.4,162.5,2,9,4,387,0,3,4,100,3,92,female,apprenticeship,confessionless,no,yes
bas_UMSPA,49.3,6800,46.9,182.8,1,6,6,347,0,0,5,65,4,23,female,SEK_III,evangelical-reformed,no,no
bas_GUFND,39.2,6600,60.2,160,2,9,4,411,35,0,4,122,7,50,female,SEK_III,other,no,no
